frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
17,0,1.067,0.98,1,-2.8,7.0,324.5,-0.064,-0.053,0.121,0.70,1.54,0.90,0.63,0.17,0.01,0.83,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
18,0,1.133,0.98,1,-7.0,6.8,325.7,-0.075,-0.045,0.091,0.41,1.77,0.83,1.13,0.02,0.00,0.63,0.00,0.00,0.00,0.00,0.83,0.05,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
19,0,1.200,0.98,1,-10.1,6.6,324.0,-0.071,-0.034,0.060,0.42,2.09,0.36,1.31,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.86,0.51,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
20,0,1.267,0.98,1,-12.2,6.6,326.8,-0.073,-0.021,0.034,0.73,2.22,1.02,0.99,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.51,0.68,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
21,0,1.333,0.98,1,-13.7,6.8,327.3,-0.059,-0.017,0.015,0.64,2.15,1.11,0.48,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.41,1.34,0.00,0.00,0.33,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
22,0,1.400,0.98,1,-14.6,7.0,326.1,-0.051,-0.013,0.003,0.69,1.81,0.98,0.40,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.53,1.31,0.00,0.00,0.24,0.00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
23,0,1.467,0.98,1,-15.4,7.0,325.9,-0.041,-0.012,-0.010,0.84,1.44,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.16,0.42,0.00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
24,0,1.533,0.98,1,-16.2,7.1,326.6,-0.038,-0.011,-0.015,0.96,1.31,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,1.96,0.00,0.13,0.00,0.00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
25,0,1.600,0.98,1,-17.9,7.1,324.7,-0.038,-0.002,-0.022,0.99,1.08,1.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.12,1.84,0.00,0.00,0.22,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
26,0,1.667,0.98,1,-19.7,6.7,325.1,-0.044,0.017,-0.029,1.30,1.29,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,1.90,0.00,0.00,0.00,0.00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
27,0,1.733,0.98,1,-20.7,6.7,323.8,-0.044,0.022,-0.042,1.35,1.08,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,1.86,0.06,0.00,0.00,0.04,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
28,0,1.800,0.98,1,-21.6,6.9,323.1,-0.042,0.028,-0.054,1.22,1.16,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.00,1.72,0.00,0.00,0.00,0.08,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
29,0,1.867,0.98,1,-21.8,7.2,323.3,-0.035,0.035,-0.061,1.44,1.08,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.15,1.71,0.00,0.04,0.00,0.21,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30,0,1.933,0.98,1,-21.6,7.3,323.3,-0.036,0.038,-0.064,1.44,1.01,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,1.54,0.00,0.17,0.00,0.24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
31,0,2.000,0.98,1,-21.2,7.5,324.0,-0.031,0.049,-0.064,1.27,0.75,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,1.34,0.08,0.00,0.00,0.05,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
32,0,2.067,0.98,1,-20.7,7.0,324.2,-0.038,0.044,-0.062,1.72,1.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.71,0.16,0.00,0.00,0.07,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
33,0,2.133,0.98,1,-20.3,6.4,325.2,-0.038,0.042,-0.057,1.61,1.07,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,1.58,0.17,0.00,0.00,0.11,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
34,0,2.200,0.98,1,-19.4,5.8,324.9,-0.051,0.039,-0.056,1.62,1.02,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,1.43,0.26,0.00,0.00,0.02,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
35,0,2.267,0.98,1,-18.0,6.3,324.5,-0.043,0.035,-0.055,1.76,1.11,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,1.43,0.28,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
36,0,2.333,0.98,1,-16.9,6.6,324.7,-0.044,0.041,-0.046,1.51,1.08,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,1.34,0.20,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
37,0,2.400,0.98,1,-15.8,6.6,324.1,-0.042,0.030,-0.041,1.53,1.21,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,1.89,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
38,0,2.467,0.98,1,-15.5,6.6,324.3,-0.039,0.022,-0.037,1.44,1.19,0.83,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.00,2.37,0.00,0.05,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
39,0,2.533,0.98,1,-16.0,6.2,322.5,-0.036,0.014,-0.037,1.50,1.33,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,2.25,0.21,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
40,0,2.600,0.98,1,-17.1,6.2,322.8,-0.032,0.023,-0.034,1.38,1.14,1.03,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,2.35,0.00,0.04,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
41,0,2.667,0.98,1,-17.5,6.7,323.7,-0.034,0.023,-0.033,1.41,1.36,1.21,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,1.91,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
42,0,2.733,0.98,1,-17.7,7.2,324.6,-0.036,0.022,-0.035,1.08,1.38,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.52,0.00,0.00,0.00,0.00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
43,0,2.800,0.98,1,-18.1,7.4,323.6,-0.042,0.028,-0.031,1.04,1.54,0.92,0.48,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.25,0.85,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
44,0,2.867,0.98,1,-18.2,7.6,323.5,-0.043,0.031,-0.029,0.86,1.54,1.05,0.23,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.32,0.56,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
45,0,2.933,0.98,1,-18.3,7.5,323.0,-0.045,0.035,-0.026,0.80,1.50,1.03,0.20,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.26,0.52,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
46,0,3.000,0.98,1,-17.9,7.4,322.5,-0.049,0.031,-0.026,0.49,1.39,0.69,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.83,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
47,0,3.067,0.98,1,-17.1,7.8,322.7,-0.050,0.029,-0.021,0.32,1.30,0.97,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.61,0.00,0.00,0.00,0.00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
48,0,3.133,0.98,1,-16.4,7.8,324.7,-0.058,0.020,-0.015,0.05,1.44,1.34,0.90,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.22,0.00,0.00,0.00,0.00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
49,0,3.200,0.98,1,-15.6,7.6,325.2,-0.065,0.011,-0.011,0.72,1.87,1.62,0.53,0.22,0.21,0.00,0.00,0.00,0.00,0.00,0.16,0.44,0.00,0.00,0.00,0.00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
50,0,3.267,0.98,1,-15.2,7.6,324.7,-0.064,0.009,-0.007,1.20,2.34,1.56,0.56,0.15,0.45,0.21,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
51,0,3.333,0.98,1,-14.9,7.7,325.5,-0.068,-0.006,0.001,0.83,1.91,0.92,1.03,0.18,0.15,0.58,0.00,0.00,0.01,0.00,0.19,0.02,0.00,0.00,0.00,0.03,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
52,0,3.400,0.98,1,-14.8,7.7,325.5,-0.075,-0.015,0.006,0.59,1.90,1.20,0.97,0.16,0.34,0.82,0.00,0.00,0.11,0.00,0.44,0.55,0.00,0.00,0.00,0.00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
53,0,3.467,0.98,1,-14.7,8.2,324.5,-0.059,-0.017,0.008,1.35,2.15,1.10,1.37,0.20,0.21,0.81,0.00,0.00,0.13,0.00,0.15,0.56,0.00,0.00,0.00,0.00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
54,0,3.533,0.98,1,-14.5,7.9,323.5,-0.058,-0.017,0.007,1.84,2.55,1.13,1.36,0.17,0.79,0.55,0.00,0.00,0.00,0.00,0.60,0.55,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
55,0,3.600,0.98,1,-13.8,8.0,321.3,-0.059,-0.020,0.005,1.88,2.31,1.45,1.17,0.42,0.11,0.55,0.00,0.00,0.00,0.18,0.39,0.28,0.00,0.00,0.00,0.01,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
56,0,3.667,0.98,1,-12.8,8.2,322.0,-0.051,-0.013,0.000,2.10,2.33,1.45,0.06,0.45,0.00,0.38,0.00,0.03,0.00,0.40,0.40,1.15,0.00,0.09,0.12,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
57,0,3.733,0.98,1,-11.3,7.9,322.3,-0.055,-0.015,0.001,2.36,2.46,1.11,0.13,0.19,0.00,0.32,0.00,0.00,0.01,0.55,0.57,0.68,0.11,0.30,0.00,0.04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
58,0,3.800,0.98,1,-9.9,7.6,322.5,-0.048,-0.020,0.005,2.44,2.28,1.10,0.14,0.24,0.00,0.24,0.00,0.00,0.00,0.62,0.69,0.71,0.00,0.33,0.00,0.00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
59,0,3.867,0.98,1,-8.7,7.9,323.1,-0.033,-0.024,0.005,2.72,2.11,0.91,0.16,0.00,0.36,0.00,0.00,0.00,0.00,0.65,1.05,0.92,0.20,0.38,0.00,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
60,0,3.933,0.98,1,-7.5,8.6,324.5,-0.031,-0.045,0.009,2.82,2.04,0.55,1.25,0.00,0.61,0.00,0.00,0.00,0.00,0.53,0.08,1.06,0.00,0.69,0.15,0.00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
61,0,4.000,0.98,1,-6.8,8.9,324.6,-0.024,-0.046,0.012,1.35,1.30,0.73,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,1.49,0.00,0.27,0.00,0.10,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
62,0,4.067,0.98,1,-6.8,8.9,324.5,-0.018,-0.044,0.013,1.19,0.93,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,1.91,0.00,0.30,0.00,0.23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
63,0,4.133,0.98,1,-7.3,8.8,324.9,-0.016,-0.044,0.017,1.22,0.99,0.68,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,1.62,0.00,0.37,0.18,0.23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
64,0,4.200,0.98,1,-7.6,8.9,324.1,-0.011,-0.043,0.017,1.54,1.09,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.00,1.69,0.00,0.32,0.00,0.17,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
65,0,4.267,0.98,1,-8.5,9.4,324.0,-0.005,-0.038,0.023,1.29,0.96,0.87,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,1.98,0.00,0.31,0.19,0.10,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
66,0,4.333,0.98,1,-9.3,9.6,325.4,-0.010,-0.039,0.022,1.30,1.24,0.90,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,2.02,0.00,0.40,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
67,0,4.400,0.98,1,-9.4,9.6,325.7,-0.013,-0.038,0.019,1.30,1.24,0.98,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.00,1.84,0.00,0.44,0.07,0.04,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
68,0,4.467,0.98,1,-9.4,9.6,325.8,-0.016,-0.036,0.018,1.32,1.27,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,1.98,0.00,0.41,0.03,0.09,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
